start
Vertice: 329, Nivel: 231, Pai: 381
Vertice: 13, Nivel: 232, Pai: 329
Vertice: 6398, Nivel: 233, Pai: 13
Vertice: 6409, Nivel: 233, Pai: 13
Vertice: 6433, Nivel: 233, Pai: 13
Vertice: 2063, Nivel: 233, Pai: 13
Vertice: 88, Nivel: 234, Pai: 2063
Vertice: 54, Nivel: 235, Pai: 88
Vertice: 35, Nivel: 236, Pai: 54
Vertice: 8942, Nivel: 237, Pai: 35
Vertice: 251, Nivel: 238, Pai: 8942
Vertice: 1262, Nivel: 239, Pai: 251
Vertice: 17820, Nivel: 240, Pai: 1262
Vertice: 29528, Nivel: 240, Pai: 1262
Vertice: 28877, Nivel: 240, Pai: 1262
Vertice: 17770, Nivel: 240, Pai: 1262
Vertice: 17660, Nivel: 240, Pai: 1262
Vertice: 21546, Nivel: 239, Pai: 251
Vertice: 23853, Nivel: 239, Pai: 251
Vertice: 19731, Nivel: 239, Pai: 251
Vertice: 3440, Nivel: 239, Pai: 251
Vertice: 112, Nivel: 240, Pai: 3440
Vertice: 325, Nivel: 241, Pai: 112
Vertice: 4447, Nivel: 242, Pai: 325
Vertice: 313, Nivel: 243, Pai: 4447
Vertice: 284, Nivel: 244, Pai: 313
Vertice: 10757, Nivel: 245, Pai: 284
Vertice: 17734, Nivel: 245, Pai: 284
